NameReviewer,FullReview,processed_content,Rating,Trip_Type,YearofStay,CountryReviewer
Manu P,"An amazing experience is what you will feel when you enter the hotel resort. Without doubt this is one of the most beautiful resorts in the world. And believe me I have seen a lot of resorts around the world. Rambagh management have definitely taken pains to restore most of the areas as a heritage property. The rooms are absolutely lavish and give you a feeling of royalty and the way maharajas must have been staying when they stayed here. The rooms have high ceilings and you surely get a feel of royalty. But they do I give the resort 3 stars and not 5. That is because when I think that I have paid around 600 usd for the room in Jaipur. Well I expect exceptional service, and amenities. But that is where the resort fails miserably. Examplesâ€¦ the food is served in grand silverâ€¦",amazing experience feel enter hotel resort doubt one beautiful resorts world believe seen lot resorts around world management definitely taken pains restore areas heritage property rooms absolutely lavish give feeling royalty way maharajas must staying stayed rooms high ceilings surely get feel royalty give resort stars think paid around room well expect exceptional service amenities resort fails miserably examples food served grand silver,3,,2023,India
dianedinky,"I know it is probably just me, but this dining experience was not one of my favourites.  Yes, the hotel and grounds are amazing, the dining room is lavish and everything smacks of money but, for me, it lacked any real atmosphere or charm. It was packed out the night we went so was very noisy and many children running about.  The staff had no time for any personal attention and the whole place had a vibe of 'look at how posh we are aren't you grateful to be here' as if they just were there to show off rather than serve you.  The food was also too posh for my tastes (my problem, I know) but it was a huge plates and tiny amount of food type of dinner which really annoys me! Glad I got to experience it but wouldn't recommend.",know probably dining experience one favourites yes hotel grounds amazing dining room lavish smacks money lacked real atmosphere charm packed night went noisy many children running staff time personal attention whole place vibe look posh grateful show rather serve food also posh tastes problem know huge plates tiny amount food type dinner really annoys glad got experience recommend,3,,2022,United Kingdom
Quest771534,"The place is decent but not really a wow. A water bottle costs 300, which is 40 bucks outside, which was the only wow factor. The bottle was not left on the table, it was bought to the table and opened up without giving enough time to think. Very sly indeed.",place decent really wow water bottle costs bucks outside wow factor bottle left table bought table opened giving enough time think sly indeed,3,,2021,India
Jon L,"I think when it comes to paying these prices, one should not arrive to a filthy room. Mould around the shower and a dirty sink. Service was poor, waiting 25 minutes for a coffee in the morning and 50 minutes to get a G&T by the pool is not acceptable. Tea and coffee in the room- no milk, not topped up, which led to a journey of discovery of teas and the dwindled.   The hotel changed our room and gave us a free meal at the next hotel, although they forgot to mention it to the next hotel which caused some embarrassment at check out.  In short they need to lift their game and the Oberoi hotels are hugely superior.  We stayed at the Taj Lake which was excellent in comparison to Jaipur.",think comes paying prices one arrive filthy room mould around shower dirty sink service poor waiting minutes coffee morning minutes get pool acceptable tea coffee room milk topped led journey discovery teas dwindled hotel changed room gave free meal next hotel forgot mention next hotel caused embarrassment check short need lift game hotels hugely superior stayed lake excellent comparison,2,,2023,United Kingdom
Rimpal,Very poor services. According to the ratings your food quality and the services as promised were not up to the mark.even the food served was not hot. Overall experience was very bad. Air conditioners were also not working properly in banquet hall.,poor services according ratings food quality services promised food served hot overall experience bad air conditioners also working properly banquet hall,2,,2021,
Tej,"We were disappointed with the overall management of the wedding. There were cleanliness issues, lack of communication, non-availability of staff and filthy washrooms.  The hospitality was not as per expectation and we weren't happy guests at the hotel.In conparison to our subsequent stay at Jai Mahal, the services at Rambagh were lukewarm.    For someone getting married at Rambagh, we were hoping for more; especially when you splurge so much for a once in a lifetime experience.",disappointed overall management wedding cleanliness issues lack communication staff filthy washrooms hospitality expectation happy guests subsequent stay services lukewarm someone getting married hoping especially splurge much lifetime experience,2,,2020,
Alok K,"i WENT TO THE Polobar of Rambagh Palace on Sunday evening on 1st september 2019 we order some drink and vegetarian platter service was good ,staff was polite but the platter we received was carrying smelly food which they acknowledge and taken back. and they didn't charge in the bill. But you can get smelly food at Rambagh Palace then what is the difference between Rambagh Palace and  street vendor",went palace sunday evening september order drink vegetarian platter service good staff polite platter received carrying smelly food acknowledge taken back charge bill get smelly food palace difference palace street vendor,2,,2019,India
Farhan M,"I have ate at Michelin starred reviews around the world. I was looking forward to dining here as the highlight of my trip.Sadly my experience didnâ€™t really meet the standards that I expected. I was served by Ruksar sukhlal Aidan and Manpreet. When asked about the menu they didnâ€™t seem to have much knowledge and didnâ€™t really recommend anything. I also feel like I was judged because of my age, and wasnâ€™t provided the level of service that I expected.",ate starred reviews around world looking forward dining highlight experience really meet standards expected served asked menu seem much knowledge really recommend also feel like judged age provided level service expected,1,,2023,
Tarunjit B,"We were staying at Sawai Man Mahal and decided to have dinner at the back lawn of Ram Bagh Palace where classical as well folk dances as well as instrumental music is played.   We got there at 7 pm - 30 minutes before the musical program was to begin. We were a part of 3 (including my two grown up kids). There was a table of four next to performance area and it was empty with no sign on it. As we were about to sit down, one of the hotel staff came running and said stop quite loudly. I asked why and he said that this table was just reserved by some guests who had gone inside to get a drink and would be out momentarily. We then gladly took the only table available at the farthest end of lawn from where the performers could hardly be seen.  We ordered drinks and food. Theâ€¦",staying man decided dinner back lawn ram palace classical well folk dances well instrumental music played got minutes musical program begin part including two grown kids table four next performance area empty sign sit one hotel staff came running said stop quite loudly asked said table reserved guests gone inside get drink momentarily gladly took table available farthest end lawn performers hardly seen ordered drinks food,1,,2022,
pdhandia,Super Busy F&B mananger Mr. Naveen Rathee. Mr. Anand server not following Covid-19 Protocol even you are in Rambhagh you are feeling like Thadi. Today I visited with my friend ordered some whiskey for him and fresh juice for me. 1st juice was very foul smelling than got changed with sweet lime. ordered vegetable kebab platter which was given incomplete 4 items should be there but three were given... afterwards when i asked for bill they billed wrong of rs 600 which they charged for water. afterwards when i asked for complaint register mr. anand removed and gave me another bill without charge of water bill. then he offered 2 icecream scoop to cool us so that i will not right review. 3 months back same problem occureed when i was with my wife and daughter they took almost 3 hrsâ€¦,super busy server following protocol even feeling like today visited friend ordered whiskey fresh juice juice foul smelling got changed sweet lime ordered vegetable kebab platter given incomplete items three given afterwards asked bill billed wrong charged water afterwards asked complaint register removed gave another bill charge water bill offered icecream scoop cool right review months back problem wife daughter took almost hrs,1,,2021,India
