ID,Review
1,"This hotel was introduced by a friend as the best hotel in the area, but I was a little disappointed after checking in. First of all, I arrived in the morning. The hotel did not allow early check-in on the grounds that there was no vacant room. When I returned to the hotel to check in at 6:30 in the afternoon Because I wanted a non-smoking room, check-in was delayed for at least half an hour. In the end, I got a twin room. In the apartment building, the air conditioner was very noisy, and the curtains in the room did not have sunshade function. Doesn't match..."
2,Better quality hotels in nearby areas
3,"The overall environment of the hotel is good, the breakfast is Chinese style, average, you can eat by the pool, but it is hotter, the room is an apartment-style suite this time, I personally feel that the distance is a bit suffocating, next time I will book an ordinary room ."
4,"This is the second time I choose to stay at Becamex Hotel New City, but my experience this time was really bad. At noon on the day I checked in, I arrived first, so I checked in first and informed the hotel reception that my friend would come in the evening. In the morning of the first day, we had breakfast together at the hotel restaurant, my friend was the one holding the room card to check the counter, the staff told the room there was only one guest, then they checked to confirm there were two. guest. See it as a temporary mistake that should have been fixed. On the second day, I had a meal and had the same situation. Why don't you double check the information? Hope my next experience isn't as bad?"
5,"Breakfast, cleanliness, friendly staff, and a big swimming pool"
6,cigarette smell. Poor sofa cleanliness
7,Most of the only five-star hotels in Binh Duong are Chinese people
8,The hotel is very clean and the rooms are spacious and comfortable. very good breakfast
9,very good
10,"I have stayed many times, the hotel environment and location are very good, the staff are friendly, and the Chinese is also very good, "
11,"Such a bad experience ! Front desk staff arguing directly with guests, 4 people go in which 1 person forgot to bring photo identification but did not accept, even with the peole can guarantee. Typical service style of 90s. Goodbye and no see them again"
12,"Open space, professional service"
13,"Good hotel and nice place
Food is good test
Clean room
Lovely people"
14,Very good drinks
15,"I just moved in today after staying for a week, and sometimes I can't receive it on the Internet."
16,The place to run the Binh Duong Halfmarathon
17,It's convenient to travel and the environment is good. I don't know how many times I've stayed here. It's very good
18,The Family Mart downstair is convenient
19,"Contains a hemorrhoid-free toilet, and the breakfast is diverse"
20,The rooms are getting older. Humidity on lower floors
21,"The room is big, the service is friendly, the breakfast is delicious, but the pillows are too soft. Although there are four pillows, none of them are comfortable to lie on. Overall, it is recommended"
22,"This hotel is located in the new city center, and the rooms are spacious and well-equipped, but there are few commercial facilities around.
It has been said for many years that it is a city that will develop from now on, but it seems that development has not progressed due to the influence of Covid-19.
Still, I have high hopes for future developments. "
23,Hotel location is excellent
24,"I booked the suite, everything was fine except one thing .... don't know how to adjust the temperature of the AC ....."
25,Breakfast is delicious!
26,Nice location....Vip
27,"Luxury Hotel in Vietnam~ The room is pleasant, the breakfast is delicious, and the lobby is nice. It's a pity that I stayed short due to my schedule."
28,"Worth continuing to stay, sanitation and breakfast are good"
29,"There is an important thing to say, the name of this hotel should be Becamex Hotel in Binh Duong New City. Especially when taking a taxi from the airport to the hotel, remember not to mention Thu Dau Mot, the driver will send you to the Bekamex Hotel in Thu Dau Mot. The hotel is comfortable"
30,"Continental breakfast, nice service"
31,"The hotel has too many rules for guests, should not stay"
32,"A hotel in the development zone is surrounded by factories, suitable for business trips, and there are many Chinese restaurants next to it"
33,"Good breakfast, nice swimming pool,"
34,I only had a coffee downstairs. Good.
35,very bad
36,"The hot spring is very good, authentic sulfur spring, breakfast and dinner are very good.
A bit far from the cable car station"
37,"good appartement size with balcony.
busy breakfast"
38,Good breakfast and nice environment
39,Restaurant here having cuisine of Vietnam and other nations. Decoration great and good price. Service and taste also good. Highly recommend
40,"Nothing much nearby except for a Hikari. Room is spacious, will be better if they have bath tub"
41,Did not seem to change the pillow case?  Weird smell when you sleep on it. I would want to stay at the hotel section of the complex instead of the Apartment section next time.
42,Convenient in the center of the new city Close to Hikari in the restaurant area
43,The biggest and most luxurious hotel in the area. Professional working style
44,Very OK
45,"The honesty of the staff is doubtful. On 12/13 check out, I found that I forgot the money in the room that night, but the counter said that I couldn’t find it after searching for it 3 times. Will the money run away by itself? Or housekeeping? who knows? "
46,Convenient for factory visits but too far from HCMC. Service is cumbersome to an American but probably normal for Asia. Restaurant if FANTASTIC! Make sure you grab breakfast. Room was clean and modern. Great shower.
47,"The facilities are in place, especially the breakfast is recommended. It is a high-end business hotel"
48,"There are not many choices in the New city. The swimming pool is very good, the breakfast is rich, the sound insulation is very good, the location is very good, very convenient."
49,will definitely recommend
50,"The best hotel in Binhduong New City, the facilities such as the gym are good, the bed is a bit hard"
51,"The outside looks old but the inside is first class and clean
Breakfast is substantial, too. Crowded when there is an exhibition nearby."
52,"It's an old hotel, but I like it because it's luxurious Nearby activities: The surrounding facilities are weak"
53,Good service
54,Nearby activities: Golf
55,event venue with good service
56,"Big room, great value for money
The breakfast is rich and satisfying.
There is no entertainment around the hotel, only the convenience store downstairs"
57,The environment is very good and the service is good
58,"Luxury hotel in Binh Duong New City of Becamex Group. The location is extremely convenient for customers to attend events - exhibitions in Binh Duong New City. The hotel is 5 star standard but only 4 star. With room types from low to high standards, VIP meeting room, Ballroom, swimming pool, Eit's cafe with green space and professional service staff. On the roof there is a tennis court, a large, open area overlooking the New City, suitable for Teambuilding activities. It also has an indoor or outdoor wedding reception hall. The hotel has an extremely friendly, enthusiastic and well-trained staff."
59,"Right in front of the 4 Hung Vuong and Ly Thai To intersections, adjacent to the administrative center of Binh Duong province, opposite the recently inaugurated internationalConvention Hall; New city center, adjacent to existing residential area The complex has a very large outdoor car park, including: The hotel has a very large reception hall, beautifully decorated, a swimming pool next to a luxury connecting lobby road, beautiful view, bar; That lobby on the right has a cafe and dining with many beautiful photo corners; 1st floor restaurant with large banquet hall,… Space for relaxation, conference, party class of BD"
60,The restaurant is also good. The restaurant is late-opening
61,Expensive price
